"Reported by";"Reported on";"Functional group";"Priority";"Rejected";"Ticket step";"Ticket state"
"PRodriguez";"2017-10-20";"Bluetooth-WIFI";"B(2)";"N";"Categorizing";"Entered"
"DMolina";"2017-10-18";"Systems";"B(2)";"N";"Concluding";"Verified"
"MKarg";"2017-10-18";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"MKarg";"2017-10-18";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"AAmbrosio";"2017-10-17";"Tuners";"B(2)";"N";"Concluding";"Verified"
"ANieto";"2017-10-17";"Aha_Cloud_Services";"B(2)";"N";"Categorizing";"Entered"
"MKarg";"2017-10-13";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"MKarg";"2017-10-13";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"DMolina";"2017-10-13";"HMI";"C(3)";"N";"Categorizing";"Entered"
"ANieto";"2017-10-09";"Systems";"C(3)";"N";"Verifying";"Integrated"
"ANieto";"2017-10-02";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"ANieto";"2017-10-02";"Systems";"A(1)";"Y";"Concluding";"Categorized"
"ANieto";"2017-10-02";"Systems";"C(3)";"N";"Concluding";"Verified"
"ANieto";"2017-10-02";"Systems";"B(2)";"N";"Concluding";"Verified"
"ANieto";"2017-09-28";"Systems";"B(2)";"N";"Concluding";"Verified"
"ANieto";"2017-09-28";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"EVega";"2017-09-28";"Systems";"B(2)";"N";"Concluding";"Verified"
"ANieto";"2017-09-26";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"ANieto";"2017-09-26";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"ANieto";"2017-09-26";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"DMolina";"2017-09-25";"Media";"B(2)";"Y";"Concluding";"Categorized"
"ANieto";"2017-09-25";"Systems";"B(2)";"N";"Concluding";"Verified"
"ANieto";"2017-09-25";"Systems";"B(2)";"N";"Concluding";"Verified"
"AAmbrosio";"2017-09-25";"Tuners";"B(2)";"Y";"Concluding";"Categorized"
"EVega";"2017-09-25";"Systems";"B(2)";"N";"Concluding";"Verified"
"AAmbrosio";"2017-09-25";"Navigation";"C(3)";"N";"Categorizing";"Entered"
"ANieto";"2017-09-24";"Systems";"A(1)";"Y";"Concluding";"Categorized"
"ANieto";"2017-09-24";"Systems";"B(2)";"N";"Concluding";"Verified"
"AAmbrosio";"2017-09-24";"Navigation";"C(3)";"N";"Concluding";"Verified"
"EVega";"2017-09-23";"Systems";"B(2)";"N";"Concluding";"Verified"
"ANieto";"2017-09-21";"Security";"C(3)";"Y";"Concluding";"Categorized"
"EVega";"2017-09-21";"IOC-Veh Network Mgmt-Diagnostics";"B(2)";"Y";"Concluding";"Categorized"
"EVega";"2017-09-20";"IOC-Veh Network Mgmt-Diagnostics";"C(3)";"N";"Categorizing";"Entered"
"EVega";"2017-09-18";"IOC-Veh Network Mgmt-Diagnostics";"B(2)";"Y";"Concluding";"Categorized"
"EVega";"2017-09-18";"IOC-Veh Network Mgmt-Diagnostics";"B(2)";"Y";"Concluding";"Categorized"
"EVega";"2017-09-18";"IOC-Veh Network Mgmt-Diagnostics";"B(2)";"Y";"Concluding";"Categorized"
"EVega";"2017-09-18";"IOC-Veh Network Mgmt-Diagnostics";"B(2)";"Y";"Concluding";"Categorized"
"AAmbrosio";"2017-09-15";"Navigation";"A(1)";"N";"Concluding";"Verified"
"EVega";"2017-09-15";"HMI";"D(4)";"N";"Verifying";"Integrated"
"ManMartinez";"2017-09-14";"Systems";"A(1)";"N";"Concluding";"Verified"
"AAmbrosio";"2017-09-13";"Navigation";"B(2)";"N";"Concluding";"Verified"
"EVega";"2017-09-13";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"AAmbrosio";"2017-09-06";"VR-Speech";"B(2)";"Y";"Concluding";"Categorized"
"ANieto";"2017-08-30";"VR-Speech";"A(1)";"Y";"Concluding";"Categorized"
"ANieto";"2017-08-29";"Project";"C(3)";"Y";"Concluding";"Categorized"
"AAmbrosio";"2017-08-28";"HMI";"B(2)";"N";"Concluding";"Verified"
"ANieto";"2017-08-17";"VR-Speech";"B(2)";"Y";"Concluding";"Categorized"
