"Reported by";"Reported on";"Functional group";"Priority";"Rejected";"Ticket step";"Ticket state"
"OBello";"2017-10-03";"Media";"B(2)";"N";"Reproduction";"Categorized"
"OBello";"2017-10-03";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-10-03";"VR-Speech";"top";"Y";"Concluding";"Categorized"
"JoMedina";"2017-09-30";"GM Suppliers";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-09-30";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-09-30";"Bluetooth-WIFI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-30";"Media";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-30";"Media";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-30";"HMI";"B(2)";"N";"Categorizing";"Entered"
"JoMedina";"2017-09-29";"Systems";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-09-29";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-29";"Systems";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-09-29";"Framework-Apps";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-29";"VR-Speech";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-29";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-29";"Connectivity";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-09-29";"Media";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-29";"Media";"B(2)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-09-29";"Bluetooth-WIFI";"A(1)";"N";"Concluding";"Verified"
"AleMacias";"2017-09-28";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-09-28";"Systems";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-09-28";"HMI";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-09-28";"HMI";"B(2)";"N";"Categorizing";"Entered"
"JoBedolla";"2017-09-28";"HMI";"C(3)";"N";"Concluding";"Verified"
"VVargas";"2017-09-28";"HMI";"B(2)";"N";"Categorizing";"Entered"
"VVargas";"2017-09-28";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-09-28";"Tuners";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-28";"Media";"A(1)";"N";"Concluding";"Verified"
"JoMedina";"2017-09-28";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"JoBedolla";"2017-09-28";"HMI";"C(3)";"N";"Concluding";"Verified"
"JoBedolla";"2017-09-27";"HMI";"C(3)";"N";"Concluding";"Verified"
"JoMedina";"2017-09-27";"Systems";"top";"Y";"Concluding";"Categorized"
"JoMedina";"2017-09-27";"HMI";"B(2)";"N";"Concluding";"Verified"
"JoMedina";"2017-09-27";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-26";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-26";"HMI";"A(1)";"N";"Categorizing";"Entered"
"VVargas";"2017-09-26";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-26";"Bluetooth-WIFI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-26";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"IAngeles";"2017-09-25";"GM Suppliers";"B(2)";"N";"Categorizing";"Entered"
"IAngeles";"2017-09-25";"GM Suppliers";"B(2)";"N";"Categorizing";"Entered"
"VVargas";"2017-09-22";"Tuners";"A(1)";"N";"Concluding";"Verified"
"AleMacias";"2017-09-22";"GM Suppliers";"A(1)";"Y";"Concluding";"Categorized"
"AleMacias";"2017-09-22";"Bluetooth-WIFI";"B(2)";"Y";"Concluding";"Categorized"
"AleMacias";"2017-09-22";"Audio-DSP-Audio Mgr";"B(2)";"N";"Concluding";"Verified"
"VVargas";"2017-09-22";"Bluetooth-WIFI";"A(1)";"Y";"Concluding";"Categorized"
"AlberSanchez";"2017-09-21";"HMI";"C(3)";"N";"Categorizing";"Entered"
"AleMacias";"2017-09-21";"Bluetooth-WIFI";"B(2)";"N";"Concluding";"Verified"
"VVargas";"2017-09-21";"Media";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-09-21";"HMI";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-09-21";"Systems";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-21";"Tuners";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-21";"Systems";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-21";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-09-21";"Audio-DSP-Audio Mgr";"B(2)";"N";"Processing";"Categorized"
"VVargas";"2017-09-20";"Systems";"A(1)";"Y";"Concluding";"Categorized"
"AlberSanchez";"2017-09-20";"Media";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-19";"IOC-Veh Network Mgmt-Diagnostics";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-19";"Media";"B(2)";"N";"Reproduction";"Categorized"
"VVargas";"2017-09-19";"Media";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-19";"Media";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-19";"Media";"A(1)";"Y";"Concluding";"Categorized"
"AleMacias";"2017-09-15";"IOC-Veh Network Mgmt-Diagnostics";"top";"N";"Processing";"Categorized"
"AleMacias";"2017-09-15";"GM Suppliers";"C(3)";"N";"Processing";"Categorized"
"VVargas";"2017-09-14";"VR-Speech";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-14";"Bluetooth-WIFI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-14";"Media";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-09-14";"Systems";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-13";"HMI";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-09-13";"IOC-Veh Network Mgmt-Diagnostics";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-13";"GM Suppliers";"top";"N";"Categorizing";"Entered"
"IAngeles";"2017-09-12";"GM Suppliers";"B(2)";"N";"Categorizing";"Entered"
"VVargas";"2017-09-12";"Connectivity";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-12";"GM Suppliers";"A(1)";"N";"Categorizing";"Entered"
"VVargas";"2017-09-12";"Media";"A(1)";"Y";"Concluding";"Categorized"
"IAngeles";"2017-09-12";"GM Suppliers";"top";"N";"Categorizing";"Entered"
"IAngeles";"2017-09-12";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"IAngeles";"2017-09-08";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"IAngeles";"2017-09-07";"Systems";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-09-06";"Bluetooth-WIFI";"A(1)";"Y";"Concluding";"Categorized"
"IAngeles";"2017-09-06";"GM Suppliers";"B(2)";"N";"Concluding";"Verified"
"VVargas";"2017-09-06";"GM Suppliers";"top";"N";"Categorizing";"Entered"
"VVargas";"2017-09-06";"GM Suppliers";"top";"N";"Categorizing";"Entered"
"VVargas";"2017-09-01";"Systems";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-01";"VR-Speech";"A(1)";"N";"Reproduction";"Categorized"
"VVargas";"2017-09-01";"GM Suppliers";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-01";"Media";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-09-01";"Connectivity";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-09-01";"VR-Speech";"top";"N";"Processing";"Categorized"
"VVargas";"2017-09-01";"Media";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-30";"Audio-DSP-Audio Mgr";"A(1)";"N";"Concluding";"Verified"
"IAngeles";"2017-08-29";"Media";"B(2)";"N";"Concluding";"Verified"
"VVargas";"2017-08-29";"GM Suppliers";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-29";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-29";"Connectivity";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-08-29";"Bluetooth-WIFI";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-26";"Connectivity";"top";"N";"Concluding";"Verified"
"VVargas";"2017-08-26";"GM Suppliers";"A(1)";"N";"Categorizing";"Entered"
"VVargas";"2017-08-26";"Systems";"top";"N";"Concluding";"Verified"
"VVargas";"2017-08-26";"Connectivity";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-26";"Connectivity";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-26";"GM Suppliers";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-08-26";"GM Suppliers";"A(1)";"N";"Categorizing";"Entered"
"VVargas";"2017-08-26";"GM Suppliers";"A(1)";"N";"Categorizing";"Entered"
"JoMedina";"2017-08-25";"GM Suppliers";"A(1)";"N";"Categorizing";"Entered"
"JoMedina";"2017-08-25";"Media";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-08-25";"HMI";"A(1)";"N";"Concluding";"Verified"
"JoMedina";"2017-08-25";"Connectivity";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-08-25";"Connectivity";"A(1)";"Y";"Concluding";"Categorized"
"AlberSanchez";"2017-08-25";"GM Suppliers";"top";"N";"Categorizing";"Entered"
"AlberSanchez";"2017-08-25";"Systems";"top";"N";"Reproduction";"Categorized"
"AlberSanchez";"2017-08-25";"Connectivity";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-25";"Media";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-25";"HMI";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-08-25";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-25";"Bluetooth-WIFI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-25";"Bluetooth-WIFI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-25";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-08-24";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-08-24";"Bluetooth-WIFI";"A(1)";"N";"Concluding";"Verified"
"JoMedina";"2017-08-24";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"IAngeles";"2017-08-24";"Audio-DSP-Audio Mgr";"B(2)";"N";"Concluding";"Verified"
"IAngeles";"2017-08-24";"Systems";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-24";"GM Suppliers";"A(1)";"Y";"Concluding";"Categorized"
"IAngeles";"2017-08-24";"HMI";"C(3)";"N";"Concluding";"Verified"
"VVargas";"2017-08-24";"GM Suppliers";"A(1)";"N";"Concluding";"Verified"
"IAngeles";"2017-08-24";"GM Suppliers";"C(3)";"N";"Concluding";"Verified"
"VVargas";"2017-08-24";"Media";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-24";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-08-23";"Project";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-08-23";"Systems";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-23";"GM Suppliers";"B(2)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-08-23";"Tuners";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-23";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-08-23";"Systems";"B(2)";"N";"Concluding";"Verified"
"VVargas";"2017-08-23";"GM Suppliers";"A(1)";"N";"Categorizing";"Entered"
"VVargas";"2017-08-23";"Media";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-23";"HMI";"B(2)";"N";"Concluding";"Verified"
"JoMedina";"2017-08-23";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-23";"HMI";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-08-23";"HMI";"A(1)";"N";"Concluding";"Verified"
"IAngeles";"2017-08-23";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"IAngeles";"2017-08-23";"Systems";"top";"N";"Concluding";"Verified"
"JoMedina";"2017-08-22";"Media";"A(1)";"N";"Concluding";"Verified"
"JoMedina";"2017-08-22";"Tuners";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-08-22";"GM Suppliers";"A(1)";"N";"Categorizing";"Entered"
"JoMedina";"2017-08-22";"GM Suppliers";"A(1)";"N";"Categorizing";"Entered"
"VVargas";"2017-08-22";"VR-Speech";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-22";"GM Suppliers";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-08-22";"Systems";"A(1)";"N";"Reproduction";"Categorized"
"VVargas";"2017-08-22";"Systems";"A(1)";"N";"Categorizing";"Entered"
"VVargas";"2017-08-22";"Audio-DSP-Audio Mgr";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-08-22";"Media";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-22";"Media";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-22";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"IAngeles";"2017-08-22";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"IAngeles";"2017-08-22";"Media";"A(1)";"N";"Concluding";"Verified"
"IAngeles";"2017-08-22";"GM Suppliers";"C(3)";"N";"Concluding";"Verified"
"IAngeles";"2017-08-22";"Systems";"top";"N";"Reproduction";"Categorized"
"IAngeles";"2017-08-22";"GM Suppliers";"C(3)";"N";"Categorizing";"Entered"
"IAngeles";"2017-08-22";"GM Suppliers";"C(3)";"Y";"Concluding";"Categorized"
"AlberSanchez";"2017-08-22";"HMI";"top";"Y";"Concluding";"Categorized"
"IAngeles";"2017-08-21";"VR-Speech";"B(2)";"Y";"Concluding";"Categorized"
"AlberSanchez";"2017-08-19";"VR-Speech";"top";"N";"Reproduction";"Categorized"
"AlberSanchez";"2017-08-19";"IOC-Veh Network Mgmt-Diagnostics";"top";"Y";"Concluding";"Categorized"
"AlberSanchez";"2017-08-19";"Systems";"top";"N";"Concluding";"Verified"
"IAngeles";"2017-08-19";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"IAngeles";"2017-08-19";"Connectivity";"B(2)";"N";"Concluding";"Verified"
"IAngeles";"2017-08-19";"Bluetooth-WIFI";"A(1)";"Y";"Concluding";"Categorized"
"IAngeles";"2017-08-19";"Media";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-18";"Systems";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-18";"Tuners";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-18";"Systems";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-18";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-18";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-18";"Connectivity";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-18";"HMI";"B(2)";"N";"Concluding";"Verified"
"VVargas";"2017-08-18";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-17";"Connectivity";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-17";"Media";"top";"N";"Concluding";"Verified"
"VVargas";"2017-08-17";"HMI";"B(2)";"N";"Concluding";"Verified"
"VVargas";"2017-08-17";"Connectivity";"B(2)";"N";"Concluding";"Verified"
"VVargas";"2017-08-17";"GM Suppliers";"B(2)";"N";"Processing";"Categorized"
"VVargas";"2017-08-17";"Media";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-17";"Media";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-13";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-13";"Media";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-13";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-13";"GM Suppliers";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-13";"Media";"top";"N";"Concluding";"Verified"
"VVargas";"2017-08-13";"Media";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-13";"GM Suppliers";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-13";"Tuners";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-13";"Media";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-13";"Media";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-13";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-13";"Media";"top";"N";"Concluding";"Verified"
"VVargas";"2017-08-13";"Media";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-13";"Media";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-11";"GM Suppliers";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-08-11";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-11";"Media";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-11";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-11";"Systems";"B(2)";"N";"Concluding";"Verified"
"VVargas";"2017-08-11";"Systems";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-11";"Systems";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-08-11";"HMI";"B(2)";"N";"Concluding";"Verified"
"VVargas";"2017-08-10";"VR-Speech";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-10";"Media";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-08-10";"Media";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-08-10";"Media";"B(2)";"N";"Concluding";"Verified"
"JoMedina";"2017-07-15";"Systems";"B(2)";"N";"Concluding";"Verified"
"JoMedina";"2017-07-15";"Connectivity";"B(2)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-07-15";"Tuners";"B(2)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-07-15";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-07-15";"VR-Speech";"B(2)";"N";"Concluding";"Verified"
"JoMedina";"2017-07-15";"Bluetooth-WIFI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-07-15";"Connectivity";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"Media";"B(2)";"N";"Concluding";"Verified"
"VVargas";"2017-07-15";"GM Suppliers";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"Bluetooth-WIFI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"Project";"C(3)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"HMI";"C(3)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-07-15";"Connectivity";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"GM Suppliers";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"Connectivity";"top";"N";"Concluding";"Verified"
"VVargas";"2017-07-15";"Systems";"top";"N";"Concluding";"Verified"
"JoMedina";"2017-07-15";"Connectivity";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"GM Suppliers";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"Systems";"top";"N";"Concluding";"Verified"
"JoMedina";"2017-07-15";"GM Suppliers";"A(1)";"N";"Categorizing";"Entered"
"VVargas";"2017-07-15";"Systems";"top";"N";"Reproduction";"Categorized"
"VVargas";"2017-07-15";"Bluetooth-WIFI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"Media";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"GM Suppliers";"C(3)";"N";"Concluding";"Verified"
"VVargas";"2017-07-15";"HMI";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"IOC-Veh Network Mgmt-Diagnostics";"top";"N";"Concluding";"Verified"
"VVargas";"2017-07-15";"GM Suppliers";"B(2)";"N";"Concluding";"Verified"
"JoMedina";"2017-07-15";"Connectivity";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"Audio-DSP-Audio Mgr";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"Systems";"top";"N";"Concluding";"Verified"
"VVargas";"2017-07-15";"Systems";"top";"N";"Concluding";"Verified"
"VVargas";"2017-07-15";"VR-Speech";"top";"Y";"Concluding";"Categorized"
"JoMedina";"2017-07-15";"Bluetooth-WIFI";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-07-15";"Connectivity";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"HMI";"A(1)";"N";"Categorizing";"Entered"
"VVargas";"2017-07-15";"GM Suppliers";"B(2)";"N";"Concluding";"Verified"
"JoMedina";"2017-07-15";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-07-15";"Systems";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-07-15";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"HMI";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"GM Suppliers";"A(1)";"N";"Concluding";"Verified"
"JoMedina";"2017-07-15";"HMI";"top";"Y";"Concluding";"Categorized"
"JoMedina";"2017-07-15";"Systems";"top";"N";"Concluding";"Verified"
"VVargas";"2017-07-15";"Systems";"top";"N";"Concluding";"Verified"
"JoMedina";"2017-07-15";"Audio-DSP-Audio Mgr";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"Audio-DSP-Audio Mgr";"B(2)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-07-15";"Systems";"top";"N";"Concluding";"Verified"
"JoMedina";"2017-07-15";"Systems";"top";"N";"Concluding";"Verified"
"JoMedina";"2017-07-15";"Systems";"top";"N";"Concluding";"Verified"
"JoMedina";"2017-07-15";"Systems";"top";"N";"Concluding";"Verified"
"JoMedina";"2017-07-15";"GM Suppliers";"B(2)";"N";"Categorizing";"Entered"
"JoMedina";"2017-07-15";"VR-Speech";"B(2)";"N";"Categorizing";"Entered"
